TAIL_KEY,TAIL_NUM,MODEL_STD,MAX_SEATS,EXPECTED_PASSENGERS,AIRLINE_NAME,CONCOURSE,GATE_COUNT,A_GATES,B_GATES,C_GATES,D_GATES,E_GATES,NUM_DOORS_USED,SEAT_LAYOUT,AVG_ROW_NUM
101DQ,N101DQ,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
101HQ,N101HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
102DN,N102DN,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
102DU,N102DU,A220-100,135.0,116.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,23.0
102HQ,N102HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
102UW,N102UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
103DU,N103DU,A220-100,135.0,116.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,23.0
103DY,N103DY,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
103HQ,N103HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
103US,N103US,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
104DN,N104DN,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
104HQ,N104HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
104UW,N104UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
105DX,N105DX,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
105HQ,N105HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
105UW,N105UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
