FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,CRS_ARR_TIME,ARR_TIME,WHEELS_ON,TAXI_IN,CRS_ARR_TIME_dt,ARR_TIME_dt,ArrDelayMinutes,YEAR,MONTH,MODEL_STD,MAX_SEATS,EXPECTED_PASSENGERS,AIRLINE_NAME,CONCOURSE,GATE_COUNT,A_GATES,B_GATES,C_GATES,D_GATES,E_GATES
2022-01-01,WN,N8561Z,5,13.0,7.0,6.0,2022-01-01 00:05:00,2022-01-01 00:13:00,8.0,2022,1,737-800,189.0,163.0,Southwest Airlines,"A, B, C, E",44,11,14,14,0,5
2022-01-01,WN,N8329B,10,58.0,54.0,4.0,2022-01-01 00:10:00,2022-01-01 00:58:00,48.0,2022,1,737-800,189.0,163.0,Southwest Airlines,"A, B, C, E",44,11,14,14,0,5
2022-01-01,WN,N268WN,10,31.0,26.0,5.0,2022-01-01 00:10:00,2022-01-01 00:31:00,21.0,2022,1,737-700,149.0,128.0,Southwest Airlines,"A, B, C, E",44,11,14,14,0,5
2022-01-01,WN,N7874B,15,52.0,46.0,6.0,2022-01-01 00:15:00,2022-01-01 00:52:00,37.0,2022,1,737-700,149.0,128.0,Southwest Airlines,"A, B, C, E",44,11,14,14,0,5
2022-01-01,WN,N8606C,15,51.0,41.0,10.0,2022-01-01 00:15:00,2022-01-01 00:51:00,36.0,2022,1,737-800,189.0,163.0,Southwest Airlines,"A, B, C, E",44,11,14,14,0,5
2022-01-01,DL,N852DN,26,28.0,22.0,6.0,2022-01-01 00:26:00,2022-01-01 00:28:00,2.0,2022,1,737-900ER,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0
2022-01-01,WN,N8809L,30,48.0,32.0,16.0,2022-01-01 00:30:00,2022-01-01 00:48:00,18.0,2022,1,737 MAX 8,210.0,181.0,Southwest Airlines,"A, B, C, E",44,11,14,14,0,5
2022-01-01,F9,N702FR,30,56.0,43.0,13.0,2022-01-01 00:30:00,2022-01-01 00:56:00,26.0,2022,1,A321-200,220.0,189.0,Frontier Airlines,D,22,0,0,0,22,0
2022-01-01,WN,N8533S,115,139.0,134.0,5.0,2022-01-01 01:15:00,2022-01-01 01:39:00,24.0,2022,1,737-800,189.0,163.0,Southwest Airlines,"A, B, C, E",44,11,14,14,0,5
2022-01-01,NK,N921NK,510,518.0,505.0,13.0,2022-01-01 05:10:00,2022-01-01 05:18:00,8.0,2022,1,A320-200,194.0,167.0,Spirit Airlines,D,22,0,0,0,22,0
