TAIL_NUM,MFR,MODEL,MODEL_STD,YEAR MFR,MAX_SEATS
309NV,AIRBUS,A319-111,A319-100,2007.0,156.0
311NV,AIRBUS,A319-111,A319-100,2006.0,156.0
312NV,AIRBUS,A319-111,A319-100,2004.0,156.0
313NV,AIRBUS,A319-111,A319-100,2004.0,156.0
315NV,AIRBUS,A319-111,A319-100,,156.0
316NV,AIRBUS,A319-111,A319-100,2005.0,156.0
317NV,AIRBUS,A319-111,A319-100,2005.0,156.0
319NV,AIRBUS,A319-111,A319-100,2005.0,156.0
320NV,AIRBUS,A319-111,A319-100,,156.0
321NV,AIRBUS,A319-111,A319-100,,156.0
326NV,AIRBUS,A319-111,A319-100,2005.0,156.0
327NV,AIRBUS,A319-111,A319-100,2005.0,156.0
328NV,AIRBUS,A319-111,A319-100,2006.0,156.0
330NV,AIRBUS,A319-111,A319-100,2006.0,156.0
331NV,AIRBUS,A319-111,A319-100,,156.0
333NV,AIRBUS,A319-111,A319-100,,156.0
334NV,AIRBUS,A319-111,A319-100,2006.0,156.0
337NV,AIRBUS,A319-111,A319-100,2004.0,156.0
301NV,AIRBUS,A319-112,A319-100,2004.0,156.0
308NV,AIRBUS,A319-112,A319-100,,156.0
324NV,AIRBUS,A319-112,A319-100,2006.0,156.0
325NV,AIRBUS,A319-112,A319-100,,156.0
N177XF,AIRBUS,A319-112,A319-100,2006.0,156.0
N771XF,AIRBUS,A319-112,A319-100,2003.0,156.0
N772XF,AIRBUS,A319-112,A319-100,2003.0,156.0
N773XF,AIRBUS,A319-112,A319-100,2003.0,156.0
N774XF,AIRBUS,A319-112,A319-100,2003.0,156.0
N776XF,AIRBUS,A319-112,A319-100,2004.0,156.0
N778XF,AIRBUS,A319-112,A319-100,2009.0,156.0
N338NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N339NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N340NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N341NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N342NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N343NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N344NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N345NB,AIRBUS,A319-114,A319-100,,156.0
N346NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N347NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N348NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N349NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N351NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N352NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N353NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N354NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N355NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N357NB,AIRBUS,A319-114,A319-100,2002.0,156.0
N358NB,AIRBUS,A319-114,A319-100,2003.0,156.0
N359NB,AIRBUS,A319-114,A319-100,2003.0,156.0
N360NB,AIRBUS,A319-114,A319-100,2003.0,156.0
N361NB,AIRBUS,A319-114,A319-100,2003.0,156.0
N362NB,AIRBUS,A319-114,A319-100,2003.0,156.0
N363NB,AIRBUS,A319-114,A319-100,2003.0,156.0
