YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2022,3,7,1,5,7/1/2022 12:00:00 AM,9E,N228PQ,5312,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0033,5.00,0008,0038,30.00,30.00,1.00,2,0001-0559,0.00,,44.00,184.00,5.00,0.00,0.00,0.00,25.00
2022,3,7,1,5,7/1/2022 12:00:00 AM,9E,N313PQ,5449,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1845,14.00,1844,1859,15.00,15.00,1.00,1,1800-1859,0.00,,50.00,184.00,0.00,0.00,15.00,0.00,0.00
2022,3,7,1,5,7/1/2022 12:00:00 AM,9E,N313PQ,5449,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1622,4.00,1630,1626,-4.00,0.00,0.00,-1,1600-1659,0.00,,57.00,184.00,,,,,
2022,3,7,1,5,7/1/2022 12:00:00 AM,9E,N601LR,5293,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,0656,6.00,0724,0702,-22.00,0.00,0.00,-2,0700-0759,0.00,,40.00,184.00,,,,,
2022,3,7,1,5,7/1/2022 12:00:00 AM,9E,N676CA,5199,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1507,7.00,1428,1514,46.00,46.00,1.00,3,1400-1459,0.00,,40.00,184.00,0.00,0.00,0.00,0.00,46.00
2022,3,7,1,5,7/1/2022 12:00:00 AM,9E,N676CA,5199,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1310,6.00,1219,1316,57.00,57.00,1.00,3,1200-1259,0.00,,46.00,184.00,46.00,0.00,11.00,0.00,0.00
2022,3,7,1,5,7/1/2022 12:00:00 AM,AA,N163US,609,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1137,10.00,1157,1147,-10.00,0.00,0.00,-1,1100-1159,0.00,,58.00,361.00,,,,,
2022,3,7,1,5,7/1/2022 12:00:00 AM,AA,N163US,609,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0851,5.00,0907,0856,-11.00,0.00,0.00,-1,0900-0959,0.00,,55.00,361.00,,,,,
2022,3,7,1,5,7/1/2022 12:00:00 AM,AA,N169UW,1588,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0824,7.00,0845,0831,-14.00,0.00,0.00,-1,0800-0859,0.00,,56.00,361.00,,,,,
2022,3,7,1,5,7/1/2022 12:00:00 AM,AA,N193UW,2316,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1642,16.00,1656,1658,2.00,2.00,0.00,0,1600-1659,0.00,,59.00,361.00,,,,,
