TAIL_NUM,MFR,MODEL,YEAR MFR
N8561Z,BOEING,737-800,2018
N696DL,BOEING,757-232,1999
N39726,BOEING,737-724,1999
N467AS,BOEING,737-990ER,2014
N339NW,AIRBUS INDUSTRIE,A320-212,1992
N667DN,BOEING,757-232,1991
N306DU,AIRBUS CANADA LP,BD-500-1A11,2020
N8788L,BOEING,737-8,2022
N978AK,BOEING,737-9,2022
N127SY,EMBRAER S A,ERJ 170-200 LR,2014
N678DL,BOEING,757-232,1992
N133SY,EMBRAER S A,ERJ 170-200 LR,2015
N569AS,BOEING,737-890,2007
N970UY,AIRBUS,A321-231,2009
N925NN,BOEING,737-823,2013
N556NW,BOEING,757-251,2002
N47414,BOEING,737-924ER,2008
N204SY,EMBRAER S A,ERJ 170-200 LR,2016
N684DA,BOEING,757-232,1993
N281JB,EMBRAER,ERJ 190-100 IGW,2007
N161SY,EMBRAER,ERJ 170-200 LR,2016
N69816,BOEING,737-924ER,2014
N166SY,EMBRAER S A,ERJ 170-200 LR,2016
N665DN,BOEING,757-232,1991
N876UA,AIRBUS,A319-132,2004
N555NW,BOEING,757-251,2002
N3113J,AIRBUS CANADA LP,BD-500-1A11,2022
N6713Y,BOEING,757-232,2000
N160SY,EMBRAER,ERJ 170-200 LR,2016
N553NW,BOEING,757-251,2001
N150SY,EMBRAER S A,ERJ 170-200 LR,2015
N672DL,BOEING,757-232,1992
N673DL,BOEING,757-232,1992
N371NW,AIRBUS INDUSTRIE,A320-212,2001
N557NW,BOEING,757-251,2002
N948AK,BOEING,737-9,2022
N27255,BOEING,737-8,2021
N376DN,AIRBUS,A321-211,2019
N27421,BOEING,737-924ER,2008
N238JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
337NV,AIRBUS,A319-111,2004
N206SY,EMBRAER S A,ERJ 170-200 LR,2017
N47281,BOEING,737-8,2022
N114DN,AIRBUS,A321-211,2021
N336SR,BOEING,737-8,2021
N294PQ,BOMBARDIER INC,CL-600-2D24,2013
N34460,BOEING,737-924ER,2012
N212JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N168SY,EMBRAER S A,ERJ 170-200 LR,2016
N836UA,AIRBUS INDUSTRIE,A319-131,2001
N8785L,BOEING,737-8,2022
N919AK,BOEING,737-9,2021
N660DL,BOEING,757-232,1990
N308DN,AIRBUS SAS,A321-213,2016
N698DL,BOEING,757-232,1999
N366NW,AIRBUS INDUSTRIE,A320-212,1999
N67171,BOEING,757-232,2001
N68823,BOEING,737-924ER,2014
N477AS,BOEING,737-990ER,2015
N900PC,BOEING,757-26D,1997
N6709,BOEING,757-232,2000
N347NW,AIRBUS INDUSTRIE,A320-212,1993
N65832,BOEING,737-924ER,2014
N457AS,BOEING,737-990ER,2014
N686DA,BOEING,757-232,1995
N6708D,BOEING,757-232,2000
321NV,AIRBUS,A319-111,
N3044J,AIRBUS CANADA LP,BD-500-1A11,2021
N6711M,BOEING,757-232,2000
N23721,BOEING,737-724,1999
N810MD,EMBRAER,ERJ 170-100SU,2004
N69838,BOEING,737-924ER,2014
N968NK,AIRBUS,A320-271N,2022
N818AW,AIRBUS INDUSTRIE,A319-132,2000
N82366,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2020
N3750D,BOEING,737-832,2001
N604LR,BOMBARDIER INC,CL-600-2D24,2007
N681DA,BOEING,757-232,1993
N8789Q,BOEING,737-8,2022
N697DL,BOEING,757-232,1999
N537AS,BOEING,737-890,2012
N38446,BOEING,737-924ER,2012
N163SY,EMBRAER S A,ERJ 170-200 LR,2016
N3112J,AIRBUS CANADA LP,BD-500-1A11,2022
N872CB,BOEING,737-8,2022
N8821S,BOEING,737-8,2022
N228JQ,EMBRAER,ERJ 170-200 LR,2008
N129DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,
N86322,EMBRAER S A,ERJ 170-200 LL,2015
N871HK,BOEING,737-8,2022
N969NK,AIRBUS,A320-271N,2022
N550NW,BOEING,757-251,2001
N676DL,BOEING,757-232,1992
N251NN,EMBRAER S A,ERJ 170-200 LR,2017
N802AW,AIRBUS INDUSTRIE,A319-132,1998
N692DL,BOEING,757-232,1998
N3734B,BOEING,737-832,2000
N29717,BOEING,737-724,1999
N674DL,BOEING,757-232,1992
N685DA,BOEING,757-232,1995
N925XJ,BOMBARDIER INC,CL-600-2D24,2008
N6707A,BOEING,757-232,2000
N113SY,EMBRAER S A,ERJ 170-200 LL,2014
N1807U,BOEING,737-8,2022
296NV,AIRBUS,A320-214,2006
N395FR,AIRBUS,A320-251N,2022
261NV,AIRBUS,A320-214,2009
N245JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N23707,BOEING,737-724,1998
N603FR,AIRBUS,A321-271NX,2022
N937XJ,BOMBARDIER INC,CL-600-2D24,2008
N3102J,AIRBUS CANADA LP,BD-500-1A11,2022
N62894,BOEING,737-924ER,2016
N293SY,EMBRAER S A,ERJ 170-200 LR,2019
N587AS,BOEING,737-890,2007
N668DN,BOEING,757-232,1991
N694DL,BOEING,757-232,1998
N3065J,AIRBUS CANADA LP,BD-500-1A11,2021
N552NW,BOEING,757-251,2001
N68843,BOEING,737-924ER,2015
N365NW,AIRBUS INDUSTRIE,A320-212,1999
N766US,AIRBUS INDUSTRIE,A319-112,2000
N931AN,BOEING,737-823,2000
N3062J,AIRBUS CANADA LP,BD-500-1A11,2021
N669DN,BOEING,757-232,1991
N918AN,BOEING,737-823,1999
N34455,BOEING,737-924ER,2012
N683DA,BOEING,757-232,1993
N36469,BOEING,737-924ER,2013
N6705Y,BOEING,757-232,2000
N822AW,AIRBUS INDUSTRIE,A319-132,2000
N917AN,BOEING,737-823,1999
N695DL,BOEING,757-232,1998
N8792Q,BOEING,737-8,2022
N887NN,BOEING,737-823,2012
N682DA,BOEING,757-232,1993
N601UX,EMBRAER S A,ERJ 170-200 LL,2019
N817UA,AIRBUS INDUSTRIE,A319-131,1998
N811NN,BOEING,737-823,2009
N121DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019
N115DN,AIRBUS,A321-211,2021
N353FR,AIRBUS,A320-251N,2019
N918AK,BOEING,737-9,2021
N67501,BOEING,737-9,2018
N707EV,BOMBARDIER INC,CL-600-2C11,2002
N413AS,BOEING,737-990ER,2013
N319PQ,BOMBARDIER INC,CL-600-2D24,2014
N128SY,EMBRAER S A,ERJ 170-200 LR,2014
N53441,BOEING,737-924ER,
N303DU,AIRBUS CANADA LP,BD-500-1A11,2020
N938AK,BOEING,737-9,2022
N976NN,BOEING,737-823,2015
N346DN,AIRBUS,A321-211,2018
N266AK,BOEING,737-900ER,2016
N1805U,BOEING,737-8,2022
N267JB,EMBRAER,ERJ 190-100 IGW,2007
N367NW,AIRBUS INDUSTRIE,A320-212,1999
N237AK,BOEING,737-990ER,2016
N8777Q,BOEING,737-8,2022
N752US,AIRBUS INDUSTRIE,A319-112,2000
N439UA,AIRBUS INDUSTRIE,A320-232,1997
N934AK,BOEING,737-9,
N343PN,BOEING,737-800,2017
N962NK,AIRBUS,A320-271N,2022
N813UA,AIRBUS INDUSTRIE,A319-131,1998
N928NN,BOEING,737-823,2013
N307DU,AIRBUS CANADA LP,BD-500-1A11,
N216JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2009
N989AU,AIRBUS,A321-231,2016
N337PJ,BOEING,737-800,2017
N301DU,AIRBUS CANADA LP,BD-500-1A11,2021
N8771D,BOEING,737-8,2022
N8775Q,BOEING,737-8,2022
N283AK,BOEING,737-900ER,2017
N364NW,AIRBUS INDUSTRIE,A320-212,1999
N512AS,BOEING,737-890,2008
N287AK,BOEING,737-900ER,2018
N917NN,BOEING,737-823,2013
N968NN,BOEING,737-823,2015
N304DU,AIRBUS CANADA LP,BD-500-1A11,2020
N270AK,BOEING,737-900ER,2017
N959NK,AIRBUS,A320-271N,2022
N979AK,BOEING,737-9,2021
N37535,BOEING,737-9,2022
N968AN,BOEING,737-823,2001
312NV,AIRBUS,A319-111,2004
N310DU,AIRBUS CANADA LP,BD-500-1A11,2021
N225JQ,EMBRAER,ERJ 170-200 LR,2008
N956NK,AIRBUS,A320-271N,2022
N8769Q,BOEING,737-8,2022
N8770Q,BOEING,737-8,2022
N971AK,BOEING,737-9,2019
N363NB,AIRBUS,A319-114,2003
N292AK,BOEING,737-900ER,2018
N323JB,EMBRAER,ERJ 190-100 IGW,2010
N997NN,BOEING,737-823,2016
N304DN,AIRBUS SAS,A321-213,2016
N8776L,BOEING,737-8,2022
N309DU,AIRBUS CANADA LP,BD-500-1A11,2021
N371DN,AIRBUS,A321-211,2019
N926XJ,BOMBARDIER INC,CL-600-2D24,2008
N27733,BOEING,737-724,1999
N960NK,AIRBUS,A320-271N,2022
N369NW,AIRBUS INDUSTRIE,A320-212,1999
N305DU,AIRBUS CANADA LP,BD-500-1A11,2020
N989AN,BOEING,737-823,2009
N950AN,BOEING,737-823,2000
N3773D,BOEING,737-832,2010
N17730,BOEING,737-724,1999
N76532,BOEING,737-824,2016
N961NK,AIRBUS,A320-271N,2022
N8787K,BOEING,737-8,2022
N357PV,BOEING,737-800,2017
N963NK,AIRBUS,A320-271N,2022
