TAIL_NUM,tail_raw,tail_display,MFR,MODEL,TYPE-ACFT,TYPE-ENG,YEAR MFR,AIR WORTH DATE,STATUS CODE,MODE S CODE,MODE S CODE HEX,HAS_MODEL,FOUND_IN_MASTER,FOUND_IN_ACFTREF
N8561Z,N8561Z,N8561Z,BOEING,737-800,5,5,2018,20180121,V,52740065,ABC035,True,True,True
N8329B,N8329B,N8329B,BOEING,737-8H4,5,5,2012,20121215,V,52661535,AB635D,True,True,True
N268WN,N268WN,N268WN,BOEING,737-7H4,5,5,2007,20070305,V,50517266,A29EB6,True,True,True
N7874B,N7874B,N7874B,BOEING,737-7Q8,5,5,2004,20160629,V,52526555,AAAD6D,True,True,True
N8606C,N8606C,N8606C,BOEING,737-8H4,5,5,,,V,52751004,ABD204,True,True,True
N852DN,N852DN,N852DN,BOEING,737-932ER,5,5,2016,20160122,V,52727436,ABAF1E,True,True,True
N8809L,N8809L,N8809L,BOEING,737-8,5,5,2021,20210319,V,53020563,AC2173,True,True,True
N702FR,N702FR,N702FR,AIRBUS,A321-211,5,5,2015,20151029,V,52256211,A95C89,True,True,True
N8533S,N8533S,N8533S,BOEING,737-800,5,5,2017,20170601,V,52732517,ABB54F,True,True,True
N921NK,N921NK,N921NK,AIRBUS,A320-271N,5,5,2019,20191119,V,53141427,ACC317,True,True,True
N7880D,N7880D,N7880D,BOEING,737-7K5,5,5,2007,20161110,V,52530232,AAB09A,True,True,True
N8662F,N8662F,N8662F,BOEING,737-8H4,5,5,2015,20150307,V,52763705,ABE7C5,True,True,True
N86534,N86534,N86534,BOEING,737-824,5,5,2016,20160814,V,52762110,ABE448,True,True,True
N498WN,N498WN,N498WN,BOEING,737-7H4,5,5,2005,20050117,V,51427721,A62FD1,True,True,True
N8617E,N8617E,N8617E,BOEING,737-8H4,5,5,2013,20130924,V,52752740,ABD5E0,True,True,True
N7885A,N7885A,N7885A,BOEING,737-76N,5,5,2002,20170213,V,52530506,AAB146,True,True,True
N561WN,N561WN,N561WN,BOEING,737-73V,5,5,2003,20150730,V,51626242,A72CA2,True,True,True
