,visibility,low_ceiling_flag,wind_speed,rain_flag,snow_flag,thunder_flag,fog_flag,ice_flag,HOUR_SIN,HOUR_COS,DOW_SIN,DOW_COS,MONTH_SIN,MONTH_COS,arrivals_1h,pred_prob,true_rate,true_bin
2023-12-27 19:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,16.0,0.5484499,0.0,0.0
2023-12-27 19:20:00,1207.0049,0.8369652,4.629996,0.7069698,0.0,0.0,0.0,0.0,-0.9659258,0.25881904,0.9749279,-0.22252093,-0.5,0.8660254,16.0,0.54796684,0.0,0.0
2023-12-27 19:15:00,4828.02,0.8369652,5.14444,0.7069698,0.0,0.0,0.0,0.0,-0.9659258,0.25881904,0.9749279,-0.22252093,-0.5,0.8660254,15.0,0.5474513,1.0,1.0
2023-12-27 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,15.0,0.5465623,0.0,0.0
2023-12-27 19:10:00,804.6699,0.8369652,4.629996,0.7069698,0.0,0.0,0.38165188,0.0,-0.9659258,0.25881904,0.9749279,-0.22252093,-0.5,0.8660254,14.0,0.54615283,0.0,0.0
2023-12-27 19:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,17.0,0.5454816,0.0,0.0
2023-12-27 19:40:00,4828.02,0.8369652,4.115552,0.33333334,0.0,0.0,0.0,0.0,-0.8660254,0.5,0.9749279,-0.22252093,-0.5,0.8660254,18.0,0.5450905,1.0,1.0
2023-12-27 19:05:00,1475.2285,0.8369652,4.629996,0.7069698,0.0,0.0,0.33333334,0.0,-0.9772839,0.17254603,0.9749279,-0.22252093,-0.5,0.8660254,14.0,0.5449252,0.6666667,1.0
2023-12-27 19:35:00,8046.7,0.8369652,3.601108,0.7069698,0.0,0.0,0.0,0.0,-0.8660254,0.5,0.9749279,-0.22252093,-0.5,0.8660254,15.0,0.54467225,1.0,1.0
2023-12-27 22:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,25.0,0.54464996,0.0,0.0
2023-12-27 22:00:00,2816.3447,0.8369652,5.14444,0.7069698,0.0,0.0,0.0,0.0,-0.5,0.8660254,0.9749279,-0.22252093,-0.5,0.8660254,27.0,0.54383117,1.0,1.0
2023-12-27 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,14.0,0.5437079,0.0,0.0
2023-12-27 19:00:00,1609.3398,0.8369652,4.629996,0.7069698,0.0,0.0,0.38165188,0.0,-0.9659258,0.25881904,0.9749279,-0.22252093,-0.5,0.8660254,12.0,0.5436316,0.5,1.0
2023-12-27 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,24.0,0.5432462,0.0,0.0
2023-12-27 21:55:00,2615.1777,0.8369652,3.8583298,0.7069698,0.0,0.0,0.0,0.0,-0.37940955,0.9159757,0.9749279,-0.22252093,-0.5,0.8660254,26.0,0.543204,1.0,1.0
2023-12-27 18:55:00,1207.0049,0.8369652,4.629996,0.7069698,0.0,0.0,0.0,0.0,-0.9659258,0.25881904,0.9749279,-0.22252093,-0.5,0.8660254,12.0,0.5431653,1.0,1.0
2023-12-27 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,10.0,0.54291475,0.0,0.0
2023-12-27 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,25.0,0.54258054,0.0,0.0
2023-12-27 21:50:00,2414.0098,0.8369652,5.14444,0.7069698,0.0,0.0,0.0,0.0,-0.5,0.8660254,0.9749279,-0.22252093,-0.5,0.8660254,25.0,0.5424234,1.0,1.0
2023-12-27 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,15.0,0.54234695,0.0,0.0
