,visibility,low_ceiling_flag,wind_speed,rain_flag,snow_flag,thunder_flag,fog_flag,ice_flag,HOUR_SIN,HOUR_COS,DOW_SIN,DOW_COS,MONTH_SIN,MONTH_COS,arrivals_1h,pred_prob,true_rate,true_bin
2023-12-16 07:05:00,16093.4,0.0,2.57222,0.0,0.0,0.0,0.0,0.0,0.9659258,-0.25881904,-0.9749279,-0.22252093,-0.5,0.8660254,2.0,0.44576547,1.0,1.0
2023-12-25 06:55:00,16093.4,0.0,2.57222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.5,0.8660254,1.0,0.4458311,0.0,0.0
2023-12-16 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,1.0,0.4460338,0.0,0.0
2023-12-25 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,0.0,0.4461543,0.0,0.0
2023-12-16 06:40:00,16093.4,0.0,2.057776,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9749279,-0.22252093,-0.5,0.8660254,1.0,0.4462449,0.0,0.0
2023-12-16 06:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,1.0,0.44630867,0.0,0.0
2023-12-16 07:15:00,16093.4,0.0,2.057776,0.0,0.0,0.0,0.0,0.0,0.9659258,-0.25881904,-0.9749279,-0.22252093,-0.5,0.8660254,3.0,0.44637707,0.0,0.0
2023-12-25 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,0.0,0.44648537,0.0,0.0
2023-12-25 07:00:00,16093.4,0.0,2.57222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.5,0.8660254,2.0,0.44656911,0.0,0.0
2023-12-16 06:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,0.0,0.44657788,0.0,0.0
2023-12-16 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,1.0,0.44659024,0.0,0.0
2023-12-16 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,2.0,0.44660753,0.0,0.0
2023-12-25 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,0.0,0.4468245,0.0,0.0
2023-12-16 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,1.0,0.44687867,0.0,0.0
2023-12-16 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,0.0,0.44691896,0.0,0.0
2023-12-25 06:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,0.0,0.44717187,0.0,0.0
2023-12-24 06:55:00,16093.4,0.0,1.543332,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7818315,0.6234898,-0.5,0.8660254,1.0,0.44717196,0.0,0.0
2023-12-17 07:00:00,12874.72,0.0,2.57222,0.0,0.0,0.0,0.0,0.0,0.9659258,-0.25881904,-0.7818315,0.6234898,-0.5,0.8660254,2.0,0.44718277,0.0,0.0
2023-12-16 07:20:00,16093.4,0.0,2.57222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9749279,-0.22252093,-0.5,0.8660254,4.0000005,0.4472001,0.0,0.0
2023-12-16 06:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,0.0,0.44726834,0.0,0.0
